price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
330000,3,3,2420,13959,1,4,8,1740,680,1988,98028,2570,13300
275000,3,3,1590,7750,1,3,7,1060,530,1997,98038,1680,7500
950000,3,3,4040,14338,2,3,10,3030,1010,1986,98077,3360,14142
705000,3,3,1970,20978,2,4,9,1770,200,1980,98070,2280,75396
849950,3,3,2990,9773,2,4,8,2990,0,1973,98005,2230,11553
1.45E+06,3,3,4380,6320,2,5,10,3580,800,1952,98199,3080,7680
1.32E+06,3,3,2230,12968,2,3,9,2230,0,1990,98004,2260,10160
460000,3,3,1520,7500,1,3,7,1180,340,1967,98034,2080,8000
483000,3,3,2440,15540,2,3,9,2440,0,1992,98074,2440,15283
610000,3,3,2480,45302,1,4,8,1620,860,1976,98077,1260,14100
342000,3,3,1260,1251,2,3,7,1040,220,2003,98144,1780,7715
852000,3,3,2400,4000,2,3,7,1860,540,1905,98102,1750,3940
775000,3,3,1820,4300,1.5,4,8,1620,200,1914,98107,1440,4300
660000,3,3,2260,1825,2,3,8,1660,600,2002,98122,2260,1834
555000,3,3,2920,23085,1.5,3,7,1540,1380,1908,98136,2270,18180
612000,3,3,2330,10327,1,3,9,2330,0,1998,98034,2200,4629
1.17E+06,3,3,3790,5001,2,3,10,2810,980,1989,98122,2500,6286
390000,3,3,1490,2944,2,3,7,960,530,1993,98199,1590,1600
525000,3,3,2470,36445,2,4,8,2470,0,1980,98027,2310,35350
335000,3,3,1430,1249,3,3,8,1430,0,2003,98103,1020,1112
900000,3,3,2990,30869,2,3,10,2990,0,1951,98155,1750,15802
799950,3,3,2900,11769,2,3,10,2900,0,1997,98052,2900,9611
790000,3,3,2840,206910,2,3,10,2840,0,1999,98059,2070,25067
535000,3,3,2640,5978,2,3,9,2640,0,2012,98045,2680,6060
1.39E+06,3,3,2490,3600,2,4,8,1790,700,1911,98119,2490,3600
562000,3,3,3290,80471,2,4,8,2330,960,1975,98070,1830,30494
600000,3,3,1520,1800,3,3,7,1520,0,2003,98115,1520,1500
1.05E+06,3,3,3250,5093,2,3,10,3250,0,2004,98146,2820,7752
475000,3,3,2010,2554,2,3,7,1860,150,2001,98118,1370,5100
1.71E+06,3,3,2490,27702,2,3,10,2490,0,2000,98116,2580,12119
1.10E+06,3,3,3700,16857,1,3,10,2170,1530,2000,98117,2320,12000
670000,3,3,2980,3730,2,3,9,2980,0,2005,98029,2710,3640
280000,3,3,1390,1080,2,3,7,1140,250,2006,98118,1450,1461
789000,3,3,3740,39640,2,3,10,3740,0,1991,98070,2930,26136
497000,3,3,2060,1850,2,3,8,1400,660,2007,98119,1910,2951
719000,3,3,1833,1706,3,3,9,1833,0,1998,98115,1466,1455
653000,3,3,3040,5067,3,3,10,3040,0,1993,98118,1820,5998
419950,3,3,2150,3962,1.5,3,7,1540,610,1949,98125,1730,4609
350000,3,3,3200,35782,1,3,8,2360,840,1978,98042,3090,37887
465000,3,3,2290,15600,1,3,8,1420,870,1948,98001,1890,14143
1.09E+06,3,3,2830,6041,2,3,8,1840,990,1915,98118,3420,6360
565000,3,3,2110,4000,1,4,7,1110,1000,1965,98126,1730,4000
555000,3,3,3760,188760,1,4,10,2640,1120,1979,98092,2820,50543
